AVG_HT,AVG_RP,user,cluster
62.71666666666666,235.57,1.0,0
71.11666666666666,253.91999999999996,2.0,2
73.85,98.62,3.0,0
88.875,169.31,4.0,0
118.31666666666668,355.86,5.0,2
88.49999999999999,203.54,6.0,0
94.95833333333334,298.37,7.0,2
77.38333333333334,248.34,8.0,0
92.775,228.19,9.0,0
86.13333333333333,383.74,10.0,2
68.6,303.72,11.0,2
86.49166666666666,156.45,12.0,0
66.82500000000002,323.8,13.0,2
67.625,178.56,14.0,0
91.60833333333332,226.20000000000005,15.0,0
101.0,196.83,16.0,0
65.975,349.56,17.0,2
101.50833333333333,232.12,18.0,0
65.10833333333332,212.38,19.0,0
73.20833333333334,284.98999999999995,20.0,2
87.06666666666668,454.84,21.0,1
79.23333333333332,350.03000000000003,22.0,2
71.19166666666668,204.24,23.0,0
70.35,157.45,24.0,0
57.508333333333326,496.29,25.0,1
61.675,154.23999999999998,26.0,0
92.09166666666668,226.73999999999995,27.0,0
86.93333333333332,155.15,28.0,0
81.10000000000001,215.2,29.0,0
75.98333333333333,458.9599999999999,30.0,1
104.39166666666668,237.59,31.0,0
65.70833333333333,219.97000000000008,32.0,0
61.61666666666666,451.9799999999999,33.0,1
60.475,355.79,34.0,2
63.90833333333334,243.36,35.0,0
61.44166666666666,170.82000000000005,36.0,0
79.85833333333333,268.58000000000004,37.0,2
77.25833333333334,258.04,38.0,2
63.125000000000014,250.85000000000005,39.0,2
84.6,355.67,40.0,2
79.95833333333333,200.67,41.0,0
63.84166666666666,158.46,42.0,0
80.99166666666666,212.47,43.0,0
71.33333333333334,178.75000000000003,44.0,0
86.59166666666667,267.51000000000005,45.0,2
75.85,192.12,46.0,0
85.93333333333332,371.24,47.0,2
88.82500000000002,174.92999999999998,48.0,0
78.98333333333333,266.03,49.0,2
80.36666666666665,372.85,50.0,2
69.44166666666666,319.2,51.0,2
68.91666666666666,251.09,52.0,2
78.08333333333331,170.68,53.0,0
81.88333333333335,139.69,54.0,0
62.766666666666666,209.03000000000003,55.0,0
69.45833333333334,354.54,56.0,2
105.28333333333332,262.62,57.0,2
72.19166666666666,262.64000000000004,58.0,2
87.76666666666667,254.25,59.0,2
90.51666666666668,451.56000000000006,60.0,1
85.325,535.13,61.0,1
84.49999999999999,178.28000000000003,62.0,0
54.13333333333334,256.0,63.0,2
62.34166666666668,173.2,64.0,0
75.65833333333335,236.42,65.0,0
53.78333333333334,315.98999999999995,66.0,2
95.01666666666668,238.6,67.0,0
50.575,414.59,68.0,1
62.66666666666667,191.08,69.0,0
43.53333333333333,318.92,70.0,2
100.36666666666667,182.74,71.0,0
80.92499999999998,265.49,72.0,2
81.9,486.71,73.0,1
89.25833333333334,285.82000000000005,74.0,2
71.525,289.91,75.0,2
78.18333333333331,329.85,76.0,2
78.25833333333335,570.8199999999999,77.0,1
53.19166666666668,324.7900000000001,78.0,2
62.825,344.43000000000006,79.0,2
98.89166666666668,156.37,80.0,0
73.44166666666666,235.88000000000005,81.0,0
72.16666666666666,212.79,82.0,0
68.40833333333333,168.41,83.0,0
112.43333333333337,454.73,84.0,1
63.53333333333334,176.94,85.0,0
89.15833333333333,165.97999999999996,86.0,0
58.69166666666668,216.0,87.0,0
68.05833333333332,396.4,88.0,1
74.20833333333334,512.1299999999999,89.0,1
57.51666666666665,148.71999999999997,90.0,0
53.18333333333332,321.02,91.0,2
101.16666666666666,161.68,92.0,0
70.19999999999999,873.0099999999999,93.0,3
75.00833333333334,195.36,94.0,0
82.16666666666666,101.08,95.0,0
60.55000000000001,212.33,97.0,0
77.14166666666668,289.0399999999999,98.0,2
59.39166666666667,181.78000000000003,99.0,0
48.71666666666666,302.91,100.0,2
108.55,344.97,101.0,2
68.55,166.32,102.0,0
108.94166666666663,214.91,103.0,0
78.275,197.14000000000004,104.0,0
54.0,431.7499999999999,105.0,1
101.0,196.83,106.0,0
92.06666666666663,166.61,107.0,0
58.94166666666668,186.65,108.0,0
91.41666666666666,236.6,109.0,0
81.13333333333333,193.67,110.0,0
68.44166666666666,246.4,111.0,0
88.03333333333333,221.7,112.0,0
